dokid	anforande_nummer
GU10574	27
GU10574	28
GU10574	29
GU10574	30
GU10574	31
GU10574	32
GU10581	97
GU10581	99
GU10581	100
GU10581	102
GU10581	103
GU10581	105
GU10585	46
GU10585	49
GU10589	63
GU10589	65
GU10589	68
GU1059	21
GU1059	22
GU1059	26
GU1059	27
GU1059	31
GU10591	123
GU10591	126
GU10595	68
GU10595	70
GU10595	72
GU10600	80
GU10600	81
GU10600	83
GU10600	84
GU10600	86
GU10600	87
GU10602	90
GU10602	92
GU10606	33
GU10606	35
GU10606	37
GU10608	35
GU10608	36
GU10608	40
GU10608	41
GU1061	152
GU1061	153
GU10615	98
GU10615	102
GU10615	104
GU10628	39
GU10628	40
GU10628	41
GU10628	42
GU10628	43
GU10628	44
GU10628	45
GU1064	35
GU1064	36
GU1065	3
GU1065	4
GU1065	7
GU1065	8
GU1066	113
GU1066	116
GU1066	118
GU1066	120
GU1068	3
GU1068	6
GU1069	25
GU1069	29
GU1070	13
GU1070	16
GU1070	19
GU1072	2
GU1072	3
GU1072	5
GU1072	6
GU1072	8
GU1073	11
GU1073	14
GU1073	17
GU1074	125
GU1074	126
GU1074	131
GU1074	132
GU1075	3
GU1075	6
GU1076	21
GU1076	24
GU1076	26
GU1076	29
GU1076	30
GU1076	32
GU1077	2
GU1077	4
GU1077	5
GU1077	7
GU1077	8
GU1077	9
GU1079	35
GU1079	39
GU1079	43
GU1080	142
GU1080	143
GU1081	24
GU1081	27
GU1082	153
GU1082	156
GU1082	159
GU1085	11
GU1085	13
GU1085	15
GU1086	15
GU1087	17
GU1087	18
GU1087	21
GU1087	22
GU1088	22
GU1088	25
GU1093	37
GU1093	40
GU1094	1
GU1094	4
GU1094	7
GU1094	9
GU1096	10
GU1096	12
GU1096	15
GU1096	19
GU1097	35
GU1097	43
GU1097	46
GU1099	59
GU1099	60
GU1099	62
GU1099	63
GU1099	64
GU1099	66
GV01CU10	92
GV01CU10	94
GV01CU10	95
GV01CU10	96
GV01CU10	97
GV01CU10	98
GV01CU10	100
GV01CU10	102
GV01CU10	106
GV01CU10	108
GV01CU12	110
GV01CU12	111
GV01CU14	1
GV01CU14	3
GV01CU14	4
GV01CU14	5
GV01CU14	6
GV01CU14	7
GV01CU14	8
GV01CU14	11
GV01CU14	13
GV01CU14	15
GV01CU14	17
GV01CU14	24
GV01CU14	26
GV01CU15	29
